wl;bright
300;0,00000
301;0,00000
302;0,00000
303;0,00000
304;0,00000
305;0,00000
306;0,00000
307;0,00000
308;0,00000
309;0,00000
310;0,00000
311;0,00000
312;0,00000
313;0,00000
314;0,00000
315;0,00000
316;0,00000
317;0,00000
318;0,00000
319;0,00000
320;0,00000
321;0,00000
322;0,00000
323;0,00000
324;0,00000
325;0,00000
326;0,00000
327;0,00000
328;0,00000
329;0,00000
330;0,00000
331;0,00000
332;0,00000
333;0,00000
334;0,00000
335;0,00000
336;0,00000
337;0,00000
338;0,00000
339;0,00000
340;0,00000
341;0,00000
342;0,00000
343;0,00000
344;0,00000
345;0,00000
346;0,00000
347;0,00036
348;0,00239
349;0,00510
350;0,00746
351;0,00967
352;0,01224
353;0,01463
354;0,01629
355;0,01682
356;0,01668
357;0,01661
358;0,01645
359;0,01594
360;0,01567
361;0,01594
362;0,01640
363;0,01669
364;0,01680
365;0,01689
366;0,01683
367;0,01649
368;0,01597
369;0,01549
370;0,01501
371;0,01445
372;0,01397
373;0,01356
374;0,01316
375;0,01283
376;0,01249
377;0,01211
378;0,01186
379;0,01191
380;0,01227
381;0,01282
382;0,01353
383;0,01466
384;0,01612
385;0,01739
386;0,01835
387;0,01930
388;0,02029
389;0,02123
390;0,02209
391;0,02305
392;0,02410
393;0,02519
394;0,02640
395;0,02791
396;0,02962
397;0,03127
398;0,03282
399;0,03437
400;0,03584
401;0,03732
402;0,03886
403;0,04034
404;0,04163
405;0,04254
406;0,04319
407;0,04393
408;0,04486
409;0,04581
410;0,04671
411;0,04764
412;0,04859
413;0,04935
414;0,04983
415;0,05017
416;0,05049
417;0,05063
418;0,05060
419;0,05065
420;0,05088
421;0,05115
422;0,05137
423;0,05164
424;0,05196
425;0,05210
426;0,05194
427;0,05159
428;0,05121
429;0,05098
430;0,05086
431;0,05075
432;0,05068
433;0,05079
434;0,05102
435;0,05118
436;0,05130
437;0,05143
438;0,05146
439;0,05131
440;0,05106
441;0,05081
442;0,05057
443;0,05030
444;0,05003
445;0,04975
446;0,04946
447;0,04912
448;0,04876
449;0,04838
450;0,04797
451;0,04749
452;0,04694
453;0,04638
454;0,04585
455;0,04534
456;0,04483
457;0,04436
458;0,04393
459;0,04351
460;0,04316
461;0,04283
462;0,04253
463;0,04231
464;0,04222
465;0,04219
466;0,04221
467;0,04229
468;0,04246
469;0,04263
470;0,04283
471;0,04307
472;0,04330
473;0,04349
474;0,04367
475;0,04387
476;0,04405
477;0,04422
478;0,04439
479;0,04460
480;0,04481
481;0,04501
482;0,04530
483;0,04573
484;0,04624
485;0,04673
486;0,04721
487;0,04773
488;0,04824
489;0,04874
490;0,04924
491;0,04975
492;0,05028
493;0,05081
494;0,05132
495;0,05185
496;0,05241
497;0,05290
498;0,05333
499;0,05371
500;0,05404
501;0,05429
502;0,05446
