wl;dark
300;0,00000
301;0,00000
302;0,00000
303;0,00000
304;0,00000
305;0,00000
306;0,00000
307;0,00000
308;0,00000
309;0,00000
310;0,00000
311;0,00000
312;0,00000
313;0,00000
314;0,00000
315;0,00000
316;0,00000
317;0,00000
318;0,00000
319;0,00000
320;0,00000
321;0,00000
322;0,00000
323;0,00000
324;0,00000
325;0,00000
326;0,00000
327;0,00000
328;0,00000
329;0,00000
330;0,00000
331;0,00000
332;0,00000
333;0,00000
334;0,00000
335;0,00000
336;0,00000
337;0,00000
338;0,00000
339;0,00000
340;0,00000
341;0,00000
342;0,00000
343;0,00000
344;0,00000
345;0,00000
346;0,00000
347;0,00040
348;0,00250
349;0,00532
350;0,00775
351;0,00999
352;0,01259
353;0,01498
354;0,01659
355;0,01697
356;0,01662
357;0,01636
358;0,01602
359;0,01531
360;0,01490
361;0,01512
362;0,01558
363;0,01587
364;0,01602
365;0,01617
366;0,01614
367;0,01578
368;0,01524
369;0,01472
370;0,01417
371;0,01352
372;0,01295
373;0,01254
374;0,01217
375;0,01177
376;0,01134
377;0,01093
378;0,01051
379;0,01005
380;0,00947
381;0,00881
382;0,00823
383;0,00771
384;0,00720
385;0,00677
386;0,00640
387;0,00607
388;0,00584
389;0,00572
390;0,00567
391;0,00566
392;0,00574
393;0,00592
394;0,00609
395;0,00629
396;0,00655
397;0,00677
398;0,00689
399;0,00699
400;0,00707
401;0,00715
402;0,00721
403;0,00725
404;0,00729
405;0,00727
406;0,00721
407;0,00718
408;0,00721
409;0,00727
410;0,00730
411;0,00732
412;0,00734
413;0,00733
414;0,00729
415;0,00722
416;0,00717
417;0,00712
418;0,00705
419;0,00701
420;0,00702
421;0,00706
422;0,00708
423;0,00706
424;0,00705
425;0,00700
426;0,00690
427;0,00675
428;0,00660
429;0,00649
430;0,00641
431;0,00634
432;0,00629
433;0,00627
434;0,00628
435;0,00629
436;0,00629
437;0,00629
438;0,00631
439;0,00635
440;0,00640
441;0,00645
442;0,00651
443;0,00657
444;0,00661
445;0,00661
446;0,00660
447;0,00657
448;0,00652
449;0,00644
450;0,00637
451;0,00633
452;0,00630
453;0,00627
454;0,00624
455;0,00621
456;0,00618
457;0,00617
458;0,00618
459;0,00621
460;0,00623
461;0,00624
462;0,00626
463;0,00626
464;0,00623
465;0,00620
466;0,00616
467;0,00613
468;0,00608
469;0,00604
470;0,00602
471;0,00600
472;0,00600
473;0,00601
474;0,00604
475;0,00607
476;0,00610
477;0,00614
478;0,00618
479;0,00623
480;0,00628
481;0,00635
482;0,00639
483;0,00637
484;0,00631
485;0,00629
486;0,00630
487;0,00631
488;0,00633
489;0,00637
490;0,00643
491;0,00646
492;0,00648
493;0,00649
494;0,00650
495;0,00645
496;0,00637
497;0,00631
498;0,00629
499;0,00627
500;0,00629
501;0,00638
502;0,00652
