wave;IRR_dark_10cm
175.76;0.00000
176.37;0.00000
176.97;0.00000
177.57;0.00000
178.17;0.00000
178.78;0.00000
179.38;0.00000
179.98;0.00000
180.58;0.00000
181.19;0.00000
181.79;0.00000
182.39;0.00000
182.99;0.00000
183.59;0.00000
184.2;0.00000
184.8;0.00000
185.4;0.00000
186;0.00000
186.6;0.00000
187.21;0.00000
187.81;0.00000
188.41;0.00000
189.01;0.00000
189.61;0.00000
190.22;0.00000
190.82;0.00000
191.42;0.00000
192.02;0.00000
192.62;0.00000
193.22;0.00000
193.83;0.00000
194.43;0.00000
195.03;0.00000
195.63;0.00000
196.23;0.00000
196.83;0.00000
197.44;0.00000
198.04;0.00000
198.64;0.00000
199.24;0.00000
199.84;0.00000
200.44;0.00000
201.05;0.00000
201.65;0.00000
202.25;0.00000
202.85;0.00000
203.45;0.00000
204.05;0.00000
204.65;0.00000
205.25;0.00000
205.86;0.00000
206.46;0.00000
207.06;0.00000
207.66;0.00000
208.26;0.00000
208.86;0.00000
209.46;0.00000
210.06;0.00000
210.66;0.00000
211.27;0.00000
211.87;0.00000
212.47;0.00000
213.07;0.00000
213.67;0.00000
214.27;0.00000
214.87;0.00000
215.47;0.00000
216.07;0.00000
216.67;0.00000
217.27;0.00000
217.87;0.00000
218.48;0.00000
219.08;0.00000
219.68;0.00000
220.28;0.00000
220.88;0.00000
221.48;0.00000
222.08;0.00000
222.68;0.00000
223.28;0.00000
223.88;0.00000
224.48;0.00000
225.08;0.00000
225.68;0.00000
226.28;0.00000
226.88;0.00000
227.48;0.00000
228.08;0.00000
228.68;0.00000
229.28;0.00000
229.88;0.00000
230.48;0.00000
231.08;0.00000
231.68;0.00000
232.28;0.00000
232.88;0.00000
233.48;0.00000
234.09;0.00000
234.69;0.00000
235.29;0.00000
235.88;0.00000
236.48;0.00000
237.08;0.00000
237.68;0.00000
238.28;0.00000
238.88;0.00000
239.48;0.00000
240.08;0.00000
240.68;0.00000
241.28;0.00000
241.88;0.00000
242.48;0.00000
243.08;0.00000
243.68;0.00000
244.28;0.00000
244.88;0.00000
245.48;0.00000
246.08;0.00000
246.68;0.00000
247.28;0.00000
247.88;0.00000
248.48;0.00000
249.08;0.00000
249.68;0.00000
250.28;0.00000
250.88;0.00000
251.48;0.00000
252.07;0.00000
252.67;0.00000
253.27;0.00000
253.87;0.00000
254.47;0.00000
255.07;0.00000
255.67;0.00000
256.27;0.00000
256.87;0.00000
257.47;0.00000
258.07;0.00000
258.66;0.00000
259.26;0.00000
259.86;0.00000
260.46;0.00000
261.06;0.00000
261.66;0.00000
262.26;0.00000
262.86;0.00000
263.46;0.00000
264.05;0.00000
264.65;0.00000
265.25;0.00000
265.85;0.00000
266.45;0.00000
267.05;0.00000
267.65;0.00000
268.24;0.00000
268.84;0.00000
269.44;0.00000
270.04;0.00000
270.64;0.00000
271.24;0.00000
271.84;0.00000
272.43;0.00000
273.03;0.00000
273.63;0.00000
274.23;0.00000
274.83;0.00000
275.43;0.00000
276.02;0.00000
276.62;0.00000
277.22;0.00000
277.82;0.00000
278.42;0.00000
279.01;0.00000
279.61;0.00000
280.21;0.00000
280.81;0.00000
281.41;0.00000
282;0.00000
282.6;0.00000
283.2;0.00000
283.8;0.00000
284.4;0.00000
284.99;0.00000
285.59;0.00000
286.19;0.00000
286.79;0.00000
287.38;0.00000
287.98;0.00000
288.58;0.00000
289.18;0.00000
289.77;0.00000
290.37;0.00000
290.97;0.00000
291.57;0.00000
292.17;0.00000
292.76;0.00000
293.36;0.00000
293.96;0.00000
294.55;0.00000
295.15;0.00000
295.75;0.00000
296.35;0.00000
296.94;0.00000
297.54;0.00000
298.14;0.00000
298.74;0.00000
299.33;0.00000
299.93;0.00000
300.53;0.00000
301.12;0.00000
301.72;0.00000
302.32;0.00000
302.92;0.00000
303.51;0.00000
304.11;0.00000
304.71;0.00000
305.3;0.00000
305.9;0.00000
306.5;0.00000
307.09;0.00000
307.69;0.00000
308.29;0.00000
308.88;0.00000
309.48;0.00000
310.08;0.00000
310.67;0.00000
311.27;0.00000
311.87;0.00000
312.46;0.00000
313.06;0.00000
313.66;0.00000
314.25;0.00000
314.85;0.00000
315.45;0.00000
316.04;0.00000
316.64;0.00000
317.23;0.00000
317.83;0.00000
318.43;0.00000
319.02;0.00000
319.62;0.00000
320.22;0.00000
320.81;0.00000
321.41;0.00000
322;0.00000
322.6;0.00000
323.2;0.00000
323.79;0.00000
324.39;0.00000
324.98;0.00000
325.58;0.00000
326.18;0.00000
326.77;0.00000
327.37;0.00000
327.96;0.00000
328.56;0.00000
329.15;0.00000
329.75;0.00000
330.35;0.00000
330.94;0.00000
331.54;0.00000
332.13;0.00000
332.73;0.00000
333.32;0.00000
333.92;0.00000
334.52;0.00000
335.11;0.00000
335.71;0.00000
336.3;0.00000
336.9;0.00000
337.49;0.00000
338.09;0.00000
338.68;0.00000
339.28;0.00000
339.87;0.00000
340.47;0.00000
341.06;0.00000
341.66;0.00000
342.25;0.00000
342.85;0.00000
343.44;0.00000
344.04;0.00000
344.63;0.00000
345.23;0.00000
345.82;0.00000
346.42;0.00000
347.01;0.00000
347.61;0.00000
348.2;0.00000
348.8;0.00000
349.39;0.00000
349.99;0.00000
350.58;0.00049
351.18;0.00051
351.77;0.00060
352.37;0.00068
352.96;0.00068
353.56;0.00057
354.15;0.00061
354.75;0.00057
355.34;0.00048
355.93;0.00050
356.53;0.00056
357.12;0.00053
357.72;0.00044
358.31;0.00044
358.91;0.00050
359.5;0.00055
360.09;0.00050
360.69;0.00051
361.28;0.00052
361.88;0.00054
362.47;0.00052
363.07;0.00055
363.66;0.00057
364.25;0.00060
364.85;0.00056
365.44;0.00056
366.04;0.00054
366.63;0.00052
367.22;0.00053
367.82;0.00060
368.41;0.00059
369.01;0.00053
369.6;0.00046
370.19;0.00046
370.79;0.00045
371.38;0.00046
371.97;0.00046
372.57;0.00041
373.16;0.00040
373.75;0.00039
374.35;0.00044
374.94;0.00042
375.54;0.00044
376.13;0.00042
376.72;0.00043
377.32;0.00041
377.91;0.00038
378.5;0.00038
379.1;0.00038
379.69;0.00037
380.28;0.00032
380.88;0.00029
381.47;0.00029
382.06;0.00027
382.65;0.00028
383.25;0.00027
383.84;0.00028
384.43;0.00025
385.03;0.00025
385.62;0.00023
386.21;0.00024
386.81;0.00024
387.4;0.00024
387.99;0.00021
388.58;0.00020
389.18;0.00019
389.77;0.00019
390.36;0.00019
390.96;0.00020
391.55;0.00020
392.14;0.00020
392.73;0.00019
393.33;0.00022
393.92;0.00026
394.51;0.00029
395.1;0.00028
395.7;0.00024
396.29;0.00023
396.88;0.00022
397.47;0.00021
398.07;0.00025
398.66;0.00026
399.25;0.00028
399.84;0.00026
400.43;0.00028
401.03;0.00029
401.62;0.00029
402.21;0.00028
402.8;0.00026
403.4;0.00027
403.99;0.00027
404.58;0.00028
405.17;0.00028
405.76;0.00027
406.36;0.00027
406.95;0.00027
407.54;0.00028
408.13;0.00028
408.72;0.00028
409.31;0.00027
409.91;0.00027
410.5;0.00026
411.09;0.00028
411.68;0.00028
412.27;0.00030
412.86;0.00030
413.46;0.00031
414.05;0.00029
414.64;0.00027
415.23;0.00026
415.82;0.00028
416.41;0.00029
417;0.00028
417.6;0.00027
418.19;0.00027
418.78;0.00027
419.37;0.00028
419.96;0.00027
420.55;0.00027
421.14;0.00028
421.73;0.00029
422.33;0.00029
422.92;0.00028
423.51;0.00028
424.1;0.00029
424.69;0.00029
425.28;0.00028
425.87;0.00028
426.46;0.00027
427.05;0.00028
427.64;0.00028
428.23;0.00027
428.83;0.00026
429.42;0.00024
430.01;0.00025
430.6;0.00024
431.19;0.00024
431.78;0.00025
432.37;0.00026
432.96;0.00027
433.55;0.00027
434.14;0.00027
434.73;0.00026
435.32;0.00025
435.91;0.00025
436.5;0.00026
437.09;0.00026
437.68;0.00026
438.27;0.00026
438.86;0.00025
439.45;0.00026
440.04;0.00026
440.63;0.00027
441.22;0.00026
441.81;0.00026
442.4;0.00028
442.99;0.00028
443.58;0.00029
444.17;0.00028
444.76;0.00029
