"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved","lum"
"M1_DF_DARK_007_K176698_P1",0.215218227511182,0.184932600905911,0.294118217701674,0.305730953881233,-0.0347817724888179,-0.065067399094089,0.0441182177016744,0.0557309538812325,0.073973581639538,0.0344972227718121,-0.0347817724888179,0.436363127513321,-0.40282939103321,0.08872384604498,0.340892087590143,0.260269596376356,0.00260860942945779
"M1_DF_DARK_007_K176698_P2",0.205375448337082,0.105606244376801,0.33767033456738,0.351347972718737,-0.0446245516629176,-0.144393755623199,0.0876703345673798,0.101347972718737,0.150485460736845,0.0772112705781022,-0.0446245516629176,0.474057771823515,-0.257957912686246,0.174925140584714,0.302861331900647,0.577575022492795,0.00285954900957267
"M1_DF_DARK_007_K176698_P3",0.188749152579863,0.0786909302998726,0.360942882714682,0.371617034405583,-0.0612508474201374,-0.171309069700127,0.110942882714682,0.121617034405583,0.179379871850093,0.0960172522558024,-0.0612508474201374,0.491466448088097,-0.292414679543002,0.212480863762823,0.310084083894049,0.685236278800509,0.00294177882824586
"M1_DF_DARK_007_K176698_P4",0.261781322605696,0.126997810210465,0.304425319747128,0.306795547436711,0.011781322605696,-0.123002189789535,0.0544253197471281,0.0567955474367112,0.110103178277829,0.0618920955450776,0.011781322605696,0.512106939288839,0.0930065294365552,0.126854802511296,0.257830374256655,0.492008759158141,0.00119261245196344
"M1_DF_DARK_007_K176699_P1",0.235450379658054,0.174417061871609,0.295562302555457,0.29457025591488,-0.0145496203419462,-0.0755829381283907,0.0455623025554567,0.0445702559148801,0.0735785040929072,0.043182052051415,-0.0145496203419462,0.530719609781722,-0.168916804882941,0.0865458106208258,0.286261068846691,0.302331752513563,0.00346207664481452
"M1_DF_DARK_007_K176699_P2",0.18640280776861,0.0882785239230974,0.351161443385049,0.374157224923243,-0.0635971922313895,-0.161721476076903,0.101161443385049,0.124157224923243,0.175064236445009,0.0848129109726608,-0.0635971922313895,0.451144473393062,-0.315978900669641,0.204659032562569,0.316375780025111,0.646885904307611,0.0034502351449759
"M1_DF_DARK_007_K176699_P3",0.198301055710673,0.0926394587657714,0.346946283685907,0.362113201837649,-0.051698944289327,-0.157360541234229,0.096946283685907,0.112113201837649,0.165018292400988,0.0845487248641251,-0.051698944289327,0.473486418065087,-0.271918815328353,0.192489751788812,0.305810068837864,0.629442164936915,0.00388314884075103
"M1_DF_DARK_007_K176699_P4",0.239396812372617,0.115319649265788,0.315763191084638,0.329520347276957,-0.0106031876273835,-0.134680350734212,0.065763191084638,0.079520347276957,0.131170603168839,0.0660036046158633,-0.0106031876273835,0.466195553188006,-0.0720836489100541,0.147223063905849,0.273282373975232,0.538721402936846,0.00131428320546343
"M1_DF_DARK_007_K176700_P1",0.230531748227661,0.185716362217734,0.291066453479215,0.292685436075391,-0.0194682517723391,-0.0642836377822664,0.0410664534792149,0.0426854360753906,0.0655049123023368,0.0366744851786181,-0.0194682517723391,0.510392256614713,-0.253735969016197,0.077555942557129,0.301616185831832,0.257134551129066,0.00351103327601613
"M1_DF_DARK_007_K176700_P2",0.179470781532908,0.094306034706123,0.350638801783243,0.375584381977725,-0.0705292184670916,-0.155693965293877,0.100638801783243,0.125584381977725,0.172247106627198,0.0818077244621963,-0.0705292184670916,0.443402619121469,-0.354264559628596,0.203312420133898,0.326461625776793,0.622775861175508,0.00335177318696739
"M1_DF_DARK_007_K176700_P3",0.200388229821026,0.0867200047323601,0.346850679679222,0.366041085767392,-0.0496117701789743,-0.16327999526764,0.0968506796792224,0.116041085767392,0.171048530734605,0.0851852489854459,-0.0496117701789743,0.462060760732091,-0.254021115009481,0.19742202068531,0.302275273161458,0.65311998107056,0.00253378787051655
