"","u","s","m","l","lum"
"M1_DF_DARK_007_K176698_P1",0.00205838509772802,0.00176872802174264,0.00281299852381694,0.00292406478141172,0.00260860942945779
"M1_DF_DARK_007_K176698_P2",0.00203323330602404,0.00104551023566655,0.00334296322300329,0.00347837293074712,0.00285954900957267
"M1_DF_DARK_007_K176698_P3",0.00185267707616258,0.000772394899133633,0.00354285354646342,0.00364762623484328,0.00294177882824586
"M1_DF_DARK_007_K176698_P4",0.0011679670127734,0.000566615110443532,0.00135822803467609,0.00136880307389829,0.00119261245196344
"M1_DF_DARK_007_K176699_P1",0.00303514561860417,0.0022483768423659,0.00381003687031035,0.00379724858762008,0.00346207664481452
"M1_DF_DARK_007_K176699_P2",0.00216154784999456,0.00102368765723495,0.0040721074539402,0.00433876911391117,0.0034502351449759
"M1_DF_DARK_007_K176699_P3",0.00262031734265067,0.00122412248158625,0.0045844907928115,0.00478490394000905,0.00388314884075103
"M1_DF_DARK_007_K176699_P4",0.00114446195626367,0.000551297864354777,0.00150953956238275,0.00157530711263726,0.00131428320546343
"M1_DF_DARK_007_K176700_P1",0.00302204963339127,0.00243456299910851,0.00381560143360686,0.00383682473928539,0.00351103327601613
"M1_DF_DARK_007_K176700_P2",0.00201548893144629,0.00105907361351702,0.00393773637075365,0.00421787969180596,0.00335177318696739
"M1_DF_DARK_007_K176700_P3",0.00172743682884431,0.000747565513733151,0.00299000913737651,0.00315543908436885,0.00253378787051655
"M1_DF_DARK_007_K176700_P4",0.00147054810352325,0.000728487097533636,0.00170972863241272,0.00177015213631685,0.00151579579779131
"M1_DF_DARK_012_K176784_P1",0.00339962278538876,0.00260531456036345,0.00423709273872981,0.00430319244600516,0.00389127463469015
"M1_DF_DARK_012_K176784_P2",0.00135156739353058,0.000728617634422217,0.00298049488528877,0.00345045103592822,0.0025826480740693
"M1_DF_DARK_012_K176784_P3",0.0016374315300575,0.000698765281516845,0.00359221040706549,0.00393760228726739,0.00302242873118663
